"country","squad","Ã¸-age","wc_particip","abroad_percent","market_value","team-logo","flag","matches_played","goals_scored","goals_against","possession","shots","shots_on_target","penalties","offsides","corners","fouls_committed","fouls_suffered","yellow_cards","red_cards","final_placement"
"Argentina","29","26.4","17","65.5","629.00","https://api.fifa.com/api/v1/picture/associations-sq-2/ARG","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/arg","4","6","9","66","53","18","0","6","24","55","75","11","0","Round of 16"
"Australia","23","27.5","5","82.6","39.00","https://api.fifa.com/api/v1/picture/associations-sq-2/AUS","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/aus","3","2","5","52","32","8","2","3","14","37","30","7","0","Group stage"
"Belgium","23","27.0","13","87.0","603.50","https://api.fifa.com/api/v1/picture/associations-sq-2/BEL","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/bel","7","16","6","52.86","106","40","1","8","39","99","75","11","0","3rd place"
"Brazil","23","26.4","21","87.0","1010","https://api.fifa.com/api/v1/picture/associations-sq-2/BRA","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/bra","5","8","3","58.6","103","38","0","9","42","50","73","7","0","Quarter-finals"
"Colombia","23","26.1","6","78.3","290.05","https://api.fifa.com/api/v1/picture/associations-sq-2/COL","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/col","4","6","3","50","39","12","0","7","13","63","52","9","1","Round of 16"
"Costa Rica","23","26.8","5","65.2","26.70","https://api.fifa.com/api/v1/picture/associations-sq-2/CRC","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/crc","3","2","5","39.33","28","9","0","5","11","43","35","6","0","Group stage"
"Croatia","25","26.6","5","84.0","396.20","https://api.fifa.com/api/v1/picture/associations-sq-2/CRO","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/cro","7","14","9","52.57","115","29","1","9","40","114","105","15","0","2nd place"
"Denmark","23","27.0","5","95.7","330.50","https://api.fifa.com/api/v1/picture/associations-sq-2/DEN","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/den","4","3","2","42.75","40","12","0","5","18","54","28","6","0","Round of 16"
"Egypt","24","25.5","3","25.0","33.75","https://api.fifa.com/api/v1/picture/associations-sq-2/EGY","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/egy","3","2","6","42.33","29","5","1","4","6","38","21","5","0","Group stage"
"England","23","25.1","15","4.3","1060","https://api.fifa.com/api/v1/picture/associations-sq-2/ENG","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/eng","7","12","8","54.29","96","25","3","15","39","72","100","8","0","4th place"
"France","23","26.6","15","65.2","1220","https://api.fifa.com/api/v1/picture/associations-sq-2/FRA","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/fra","7","14","6","52.71","83","30","3","3","21","93","103","12","0","World champion"
"Germany","23","25.3","19","26.1","1020","https://api.fifa.com/api/v1/picture/associations-sq-2/GER","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/ger","3","2","4","72.33","67","20","0","7","25","29","39","2","1","Group stage"
"Iceland","23","28.9","1","91.3","93.30","https://api.fifa.com/api/v1/picture/associations-sq-2/ISL","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/isl","3","2","5","32.67","36","12","1","1","17","35","27","3","0","Group stage"
"Iran","23","27.9","5","52.2","63.95","https://api.fifa.com/api/v1/picture/associations-sq-2/IRN","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/irn","3","2","2","26.67","21","4","1","3","5","44","45","7","0","Group stage"
"Japan","23","26.2","6","47.8","79.45","https://api.fifa.com/api/v1/picture/associations-sq-2/JPN","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/jpn","4","6","7","54","42","16","1","5","19","37","48","5","0","Round of 16"
"Mexico","26","26.8","16","38.5","181.40","https://api.fifa.com/api/v1/picture/associations-sq-2/MEX","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/mex","4","3","6","52.75","57","13","1","6","20","54","47","9","0","Round of 16"
"Morocco","23","27.6","5","82.6","129.63","https://api.fifa.com/api/v1/picture/associations-sq-2/MAR","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/mar","3","2","4","49.33","35","10","0","2","13","62","36","8","0","Group stage"
"Nigeria","24","24.7","6","83.3","135.25","https://api.fifa.com/api/v1/picture/associations-sq-2/NIG","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/nga","3","3","4","46.67","39","9","1","2","14","45","44","4","0","Group stage"
"Panama","15","25.1","1","6.7","1.08","https://api.fifa.com/api/v1/picture/associations-sq-2/PAN","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/pan","3","2","11","36","23","8","0","7","5","49","48","11","0","Group stage"
"Peru","23","26.6","5","69.6","37.70","https://api.fifa.com/api/v1/picture/associations-sq-2/PER","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/per","3","2","2","51","32","11","0","7","9","37","38","5","0","Group stage"
"Poland","28","27.2","8","85.7","332.10","https://api.fifa.com/api/v1/picture/associations-sq-2/POL","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/pol","3","2","5","50.33","30","8","0","4","17","31","33","3","0","Group stage"
"Portugal","24","27.5","7","70.8","657.25","https://api.fifa.com/api/v1/picture/associations-sq-2/POR","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/por","4","6","6","54.75","52","14","1","4","24","55","59","7","0","Round of 16"
"Russia","26","27.9","4","15.4","204.50","https://api.fifa.com/api/v1/picture/associations-sq-2/RUS","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/rus","5","11","7","37","46","19","1","7","26","95","56","6","1","Quarter-finals"
"Saudi Arabia","44","26.6","5","4.5","27.25","https://api.fifa.com/api/v1/picture/associations-sq-2/KSA","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/ksa","3","2","7","60","36","10","1","4","13","30","45","1","0","Group stage"
"Senegal","25","25.8","2","96.0","343.50","https://api.fifa.com/api/v1/picture/associations-sq-2/SEN","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/sen","3","4","4","40.67","30","12","0","10","9","44","30","6","0","Group stage"
"Serbia","29","26.1","2","79.3","390.15","https://api.fifa.com/api/v1/picture/associations-sq-2/SRB","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/srb","3","2","4","41.67","32","7","0","5","12","45","37","9","0","Group stage"
"South Korea","27","25.6","10","74.1","103.40","https://api.fifa.com/api/v1/picture/associations-sq-2/KOR","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/kor","3","3","3","37","33","11","0","0","15","63","33","10","0","Group stage"
"Spain","23","27.1","15","13.0","881.00","https://api.fifa.com/api/v1/picture/associations-sq-2/ESP","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/esp","4","7","6","74.75","70","21","0","6","24","34","59","2","0","Round of 16"
"Sweden","23","28.1","12","87.0","88.95","https://api.fifa.com/api/v1/picture/associations-sq-2/SWE","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/swe","5","6","4","37.4","55","21","2","6","16","65","64","8","0","Quarter-finals"
"Switzerland","23","26.4","11","73.9","283.50","https://api.fifa.com/api/v1/picture/associations-sq-2/SUI","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/sui","4","5","5","59.75","56","14","0","4","26","53","53","9","1","Round of 16"
"Tunisia","25","26.3","5","60.0","42.10","https://api.fifa.com/api/v1/picture/associations-sq-2/TUN","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/tun","3","5","8","53.33","36","13","1","6","10","46","35","4","0","Group stage"
"Uruguay","22","26.8","13","95.5","368.50","https://api.fifa.com/api/v1/picture/associations-sq-2/URU","https://api.fifa.com/api/v1/picture/flags-fwc2018-5/uru","5","7","3","47","61","22","0","2","18","63","69","3","0","Quarter-finals"
